timestamp,temperature,temperature_class,humidity,humidity_class
775436044,22,ambiante,65,confortable
775436047,22,ambiante,64.8,confortable
775436051,22,ambiante,64.7,confortable
775436055,22,ambiante,64.7,confortable
775436058,22,ambiante,64.7,confortable
775436062,22,ambiante,64.7,confortable
775436065,22,ambiante,64.6,confortable
775436069,22,ambiante,64.6,confortable
775436073,22.1,ambiante,64.7,confortable
775436085,22,ambiante,64.6,confortable
775436089,22.1,ambiante,64.6,confortable
775436092,22,ambiante,64.5,confortable
775436096,22.1,ambiante,64.6,confortable
775436107,22,ambiante,64.6,confortable
775436111,22.1,ambiante,64.5,confortable
775436114,22,ambiante,64.4,confortable
775436118,22,ambiante,64.3,confortable
775436121,22,ambiante,64.3,confortable
775436125,22.1,ambiante,64.4,confortable
775436129,22,ambiante,64.4,confortable
775436132,22.1,ambiante,64.4,confortable
775436136,22.1,ambiante,64.4,confortable
775436140,22.1,ambiante,64.4,confortable
775436143,22.1,ambiante,64.4,confortable
775436147,22.1,ambiante,64.5,confortable
775436150,22,ambiante,64.4,confortable
775436154,22.1,ambiante,64.5,confortable
775436157,22,ambiante,64.5,confortable
775436161,22.1,ambiante,64.5,confortable
775436165,22.1,ambiante,64.5,confortable
775436168,22.1,ambiante,64.5,confortable
775436172,22.1,ambiante,64.5,confortable
775436176,22.1,ambiante,64.5,confortable
775436179,22.1,ambiante,64.5,confortable
775436183,22,ambiante,64.4,confortable
775436186,22.1,ambiante,64.5,confortable
775436190,22,ambiante,64.4,confortable
775436193,22.1,ambiante,64.5,confortable
775436197,22.1,ambiante,64.5,confortable
775436201,22,ambiante,64.5,confortable
775436204,22,ambiante,64.4,confortable
775436208,22.1,ambiante,64.7,confortable
775436211,22.1,ambiante,65.4,confortable
775436215,22.1,ambiante,66,confortable
775436219,22.1,ambiante,66.6,confortable
775436222,22.1,ambiante,66.9,confortable
775436226,22.2,ambiante,67.2,confortable
775436229,22.2,ambiante,67.2,confortable
775436233,22.3,ambiante,67.3,confortable
775436237,22.3,ambiante,67.2,confortable
775436240,22.4,ambiante,67,confortable
775436244,22.4,ambiante,66.8,confortable
775436247,22.5,ambiante,66.8,confortable
775436251,22.6,ambiante,66.7,confortable
775436255,22.6,ambiante,66.5,confortable
775436258,22.7,ambiante,65.8,confortable
775436262,22.8,ambiante,65.3,confortable
775436265,22.9,ambiante,64.6,confortable
775436269,22.9,ambiante,64,confortable
775436273,23,ambiante,63.6,confortable
775436276,23,ambiante,63,confortable
775436280,23,ambiante,63,confortable
775436283,23.1,ambiante,63,confortable
775436287,23.1,ambiante,62.9,confortable
775436291,23.1,ambiante,62.4,confortable
775436294,23.2,ambiante,62.1,confortable
775436298,23.2,ambiante,61.5,confortable
775436301,23.3,ambiante,61.6,confortable
775436305,23.3,ambiante,61.3,confortable
775436309,23.4,ambiante,61.3,confortable
775436312,23.4,ambiante,61.1,confortable
775436316,23.4,ambiante,60.9,confortable
775436319,23.5,ambiante,60.8,confortable
775436323,23.5,ambiante,60.6,confortable
775436327,23.6,ambiante,60.4,confortable
775436330,23.7,ambiante,60.2,confortable
775436334,23.7,ambiante,60,confortable
775436337,23.8,ambiante,59.9,confortable
775436341,23.8,ambiante,59.7,confortable
775436345,23.8,ambiante,59.5,confortable
775436348,23.9,ambiante,59.3,confortable
775436352,23.9,ambiante,59.2,confortable
775436355,24,ambiante,59.2,confortable
775436359,24,ambiante,58.7,confortable
775436363,24,ambiante,59.3,confortable
775436366,24.1,ambiante,59.7,confortable
775436370,24.1,ambiante,59.9,confortable
775436373,24.1,ambiante,60.2,confortable
775436377,24.2,ambiante,60.3,confortable
775436381,24.2,ambiante,60.2,confortable
775436384,24.3,ambiante,60.2,confortable
775436388,24.4,ambiante,59.9,confortable
775436391,24.4,ambiante,59.7,confortable
775436395,24.5,ambiante,59.2,confortable
775436399,24.5,ambiante,58.8,confortable
775436402,24.6,ambiante,58.5,confortable
775436406,24.6,ambiante,58.5,confortable
775436409,24.6,ambiante,58.3,confortable
775436413,24.6,ambiante,58.2,confortable
775436417,24.7,ambiante,58.1,confortable
775436420,24.7,ambiante,58,confortable
775436424,24.8,ambiante,57.9,confortable
775436427,24.8,ambiante,57.7,confortable
775436431,24.8,ambiante,57.6,confortable
775436435,24.8,ambiante,57.5,confortable
775436438,24.9,ambiante,57.4,confortable
775436442,24.9,ambiante,57.2,confortable
775436445,24.9,ambiante,57.1,confortable
775436449,25,ambiante,57.1,confortable
775436453,25,ambiante,56.7,confortable
775436456,25,ambiante,56.6,confortable
775436460,25.1,chaud,56.7,confortable
775436463,25.1,chaud,56.9,confortable
775436467,25.2,chaud,57,confortable
775436471,25.2,chaud,57.1,confortable
775436474,25.2,chaud,57.1,confortable
775436478,25.3,chaud,57.1,confortable
775436481,25.3,chaud,57.3,confortable
775436485,25.3,chaud,57.2,confortable
775436489,25.4,chaud,57.2,confortable
775436492,25.4,chaud,57.1,confortable
775436496,25.5,chaud,56.9,confortable
775436499,25.6,chaud,56.8,confortable
775436503,25.6,chaud,56.5,confortable
775436507,25.6,chaud,56,confortable
775436510,25.7,chaud,55.6,confortable
775436514,25.7,chaud,55.3,confortable
775436517,25.7,chaud,55.5,confortable
